key_resp_start.keys,key_resp_start.rt,key_resp_stop.keys,key_resp_stop.rt,feedback_range,hit,stimulus_range,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus_duration,onset,feedback,feedback_range_fromfile,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0.657,space,0.624,0.3,FALSE,Training,0,0,0,0,1,1,0.2,True,0.3,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.502,space,0.706,0.3,TRUE,Training,0,1,1,1,1,0.75,0.2,True,0.3,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.537,space,0.542,0.3,TRUE,Training,0,2,2,2,1,0.5,0.2,True,0.3,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.485,space,0.606,0.3,TRUE,Training,0,3,3,3,1,0.5,0.3,True,0.3,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.552,space,0.621,0.3,TRUE,Training,0,4,4,4,1,0.75,0.3,True,0.3,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.585,space,0.859,0.3,TRUE,Training,0,5,5,5,1,1,0.3,True,0.3,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.624,space,1.054,,,ms_large,0,6,6,6,1,1.165,0.2,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.672,space,0.952,,,ms_large,0,7,7,7,1,1.094,0.3,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.69,space,1.023,,,ms_large,0,8,8,8,1,1.2,0.3,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.569,space,1.006,,,ms_large,0,9,9,9,1,1.024,0.1,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.589,space,1.12,,,ms_large,0,10,10,10,1,0.953,0.3,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,1.87,space,0.973,,,ms_large,0,11,11,11,1,0.847,0.1,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.588,space,0.991,,,ms_large,0,12,12,12,1,0.882,0.3,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,3.487,space,0.886,,,ms_large,0,13,13,13,1,1.129,0.1,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.557,space,1.092,,,ms_large,0,14,14,14,1,1.059,0.3,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.57,space,0.824,,,ms_large,0,15,15,15,1,0.918,0.3,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.484,space,0.886,,,ms_large,0,16,16,16,1,0.988,0.1,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.703,space,0.972,,,ms_large,0,17,17,17,1,0.953,0.2,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
space,0.972,space,1.086,,,ms_large,0,18,18,18,1,1.129,0.3,False,None,T11,r2,2021-04-26_11h53.35.715,subsecond_timing_v2,2021.1.2,MacIntel,62.5
