stdeviation,BIAS,BIAS_squared,CV,slope,RMSE
0.1752278877275768,0.042855055285797534,0.234353890471099,0.19321377161663272,0.3586145880231478,0.5052788793414245
0.19768168994642285,0.02321867698493055,0.2467378119192137,0.1976440131676509,0.29255699688791653,0.5309627837195993
0.5951460752164933,-0.45165543752128023,0.8634247980771302,0.1865520170009962,0.8037236271972309,1.0781558299958198

stdeviation,BIAS,BIAS_squared,CV,slope,RMSE
0.13932320851282637,0.013240947678874513,0.18410239473132403,0.1614968678828153,0.5632324927360141,0.4451513327486538
0.17051395742306938,0.042181860955319304,0.24621608880040535,0.15913198092790315,0.504519069619857,0.5090790742071112
0.4390609850436651,-0.37814229634575347,0.6627326052915544,0.12242179784461857,0.8598588876567089,0.9145171345762368

stdeviation,BIAS,BIAS_squared,CV,slope,RMSE
0.1534763228673852,0.02525443951501316,0.1833644450929565,0.17404034911978203,0.5641493577344545,0.4487897756399763
0.1998754832059313,0.013833711983671148,0.2376086639051537,0.1891933232626585,0.6126442182441695,0.5196730728372042
0.5305215936575994,-0.2598037541475818,0.6811533376930986,0.14330033371716352,0.8898417783934381,0.975302860065652

