key_resp_start.keys,key_resp_start.rt,key_resp_stop.keys,key_resp_stop.rt,feedback_range,hit,stimulus_range,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus_duration,onset,feedback,feedback_range_fromfile,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.782835,space,1.64991,0.3,TRUE,Training,0,0,0,0,1,2,0.1,True,0.3,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,2.316225,space,3.36092,0.3,FALSE,Training,0,1,1,1,1,5,0.2,True,0.3,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.29929,space,3.784825,0.3,TRUE,Training,0,2,2,2,1,4,0.1,True,0.3,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.177865,space,4.63236,,,large,0,3,3,3,1,4.5,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.20022,space,3.915835,,,large,0,4,4,4,1,3.5,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.994555,space,5.13148,,,large,0,5,5,5,1,5.5,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.943095,space,3.498785,,,large,0,6,6,6,1,3,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.07056,space,2.729735,,,large,0,7,7,7,1,2.5,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.965865,space,5.506185,,,large,0,8,8,8,1,5,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.03082,space,5.98527,,,large,0,9,9,9,1,6,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.984765,space,2.01653,,,large,0,10,10,10,1,2,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.84461,space,4.15541,,,large,0,11,11,11,1,4,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.99229,space,3.015705,,,large,0,12,12,12,1,2.5,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.74455,space,4.120955,,,large,0,13,13,13,1,4,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.028415,space,3.83037,,,large,0,14,14,14,1,3.5,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.123665,space,5.446965,,,large,0,15,15,15,1,5.5,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.18377,space,6.241575,,,large,0,16,16,16,1,6,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.94413,space,3.11111,,,large,0,17,17,17,1,3,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.81473,space,2.215395,,,large,0,18,18,18,1,2,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.971615,space,4.849855,,,large,0,19,19,19,1,5,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.09872,space,4.556605,,,large,0,20,20,20,1,4.5,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.06815,space,3.780175,,,large,0,21,21,21,1,3.5,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.983715,space,3.357455,,,large,0,22,22,22,1,3,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.252805,space,6.19816,,,large,0,23,23,23,1,5.5,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.954775,space,1.953935,,,large,0,24,24,24,1,2,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.19636,space,5.82656,,,large,0,25,25,25,1,6,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.215055,space,2.54602,,,large,0,26,26,26,1,2.5,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.934405,space,4.09763,,,large,0,27,27,27,1,4,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.05033,space,4.50969,,,large,0,28,28,28,1,4.5,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.07864,space,4.99982,,,large,0,29,29,29,1,5,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.188755,space,2.592905,,,large,0,30,30,30,1,2.5,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.05946,space,5.43908,,,large,0,31,31,31,1,6,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.052995,space,5.420645,,,large,0,32,32,32,1,5,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.046175,space,4.382735,,,large,0,33,33,33,1,3.5,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.00025,space,3.30017,,,large,0,34,34,34,1,3,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.08444,space,5.798475,,,large,0,35,35,35,1,5.5,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.049645,space,2.001425,,,large,0,36,36,36,1,2,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.51672,space,4.117495,,,large,0,37,37,37,1,4,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,0.81713,space,3.633545,,,large,0,38,38,38,1,4.5,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.0288,space,4.46468,,,large,0,39,39,39,1,4,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.107,space,3.17368,,,large,0,40,40,40,1,3,0.3,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.18551,space,4.84278,,,large,0,41,41,41,1,4.5,0.1,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
space,1.103035,space,5.384165,,,large,0,42,42,42,1,5,0.2,False,None,T10,r3,2021-04-25_00h42.40.762,subsecond_timing_v2,2021.1.2,Win32,59.90176111
