key_resp_start.keys,key_resp_start.rt,key_resp_stop.keys,key_resp_stop.rt,feedback_range,hit,stimulus_range,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus_duration,onset,feedback,feedback_range_fromfile,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.181735,space,1.023525,0.3,TRUE,Training,0,0,0,0,1,1,0.3,True,0.3,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,0.80737,space,0.53522,0.3,TRUE,Training,0,1,1,1,1,0.75,0.1,True,0.3,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,0.94274,space,0.31476,0.3,FALSE,Training,0,2,2,2,1,0.5,0.1,True,0.3,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,0.766415,space,0.474165,0.3,TRUE,Training,0,3,3,3,1,0.5,0.2,True,0.3,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,0.776125,space,0.708305,0.3,TRUE,Training,0,4,4,4,1,0.75,0.2,True,0.3,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,0.850625,space,0.90002,0.3,TRUE,Training,0,5,5,5,1,1,0.3,True,0.3,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,0.937595,space,0.75082,,,ms_small,0,6,6,6,1,0.706,0.2,False,None,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,1.01854,space,0.88884,,,ms_small,0,7,7,7,1,0.812,0.3,False,None,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,1.008035,space,0.753545,,,ms_small,0,8,8,8,1,0.847,0.1,False,None,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,1.057485,space,0.75779,,,ms_small,0,9,9,9,1,0.67,0.3,False,None,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,1.048795,space,0.68383,,,ms_small,0,10,10,10,1,0.988,0.1,False,None,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,0.98322,space,0.766845,,,ms_small,0,11,11,11,1,0.953,0.1,False,None,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,1.083775,space,0.91718,,,ms_small,0,12,12,12,1,0.882,0.3,False,None,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,1.000305,space,0.766765,,,ms_small,0,13,13,13,1,0.918,0.1,False,None,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,1.00282,space,0.6844,,,ms_small,0,14,14,14,1,0.776,0.2,False,None,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,0.883395,space,0.701145,,,ms_small,0,15,15,15,1,0.741,0.3,False,None,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
space,1.350695,space,0.93364,,,ms_small,0,16,16,16,1,1.024,0.3,False,None,Z09,r1,2021-05-10_23h03.26.431,subsecond_timing_v2,2021.1.2,Win32,60.03121623
