stimulus_range,stimulus_duration,onset,feedback,feedback_range_fromfile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_cross.started,fixation_cross.stopped,interval_start.started,interval_start.stopped,interval_end.started,interval_end.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,fixation_cross_reproduction.started,fixation_cross_reproduction.stopped,reproduction_start.started,reproduction_start.stopped,key_resp_stop.keys,key_resp_stop.rt,key_resp_stop.started,key_resp_stop.stopped,feedback_range,hit,stimulus_range,reproduction_end.started,reproduction_end.stopped,fixation_cross_feedback.started,fixation_cross_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ms_small,0.918,0.1,False,None,0,13,13,13,64.86414180000429,None,64.94737859998713,64.99735229997896,65.86387370000011,65.91465389999212,space,1.1013673999987077,65.86387370000011,None,66.98342629999388,None,66.98342629999388,67.03305070000351,space,0.9687155999999959,66.98342629999388,None,None,None,ms_small,67.9825677999761,68.04673750000075,67.9825677999761,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.776,0.2,False,None,0,14,14,14,68.49683659998118,None,68.67989489997854,68.73012009999366,69.44665359999635,69.49714969997876,space,0.9642464999924414,69.44665359999635,None,70.43289689999074,None,70.43289689999074,70.49635719999787,space,0.8063164000050165,70.43289689999074,None,None,None,ms_small,71.26597849998507,71.32957869998063,71.26597849998507,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.741,0.3,False,None,0,15,15,15,71.7794947999937,None,72.06281449997914,72.11325569998007,72.7960652000038,72.8466101999802,space,0.8975923999969382,72.7960652000038,None,73.71571170000243,None,73.71571170000243,73.7790872999758,space,0.7768454999895766,73.71571170000243,None,None,None,ms_small,74.5125296000042,74.56220849999227,74.5125296000042,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,1.024,0.3,False,None,0,16,16,16,75.01275500000338,None,75.29549579997547,75.34565019997535,76.31209019999369,76.3628303000005,space,0.8488475999911316,76.31209019999369,None,77.18190169997979,None,77.18190169997979,77.24522149999393,space,0.906061600020621,77.18190169997979,None,None,None,ms_small,78.1146273999766,78.17831099999603,78.1146273999766,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.67,0.1,False,None,0,17,17,17,78.62822589999996,None,78.71174430000247,78.76159549999284,79.37810639999225,79.42860749998363,space,0.864495399990119,79.37810639999225,None,80.26439179998124,None,80.26439179998124,80.32777249999344,space,1.6062455999781378,80.26439179998124,None,None,None,ms_small,81.89739259998896,81.96087759998045,81.89739259998896,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.812,0.3,False,None,0,18,18,18,82.411878599989,None,82.69408929999918,82.74417329998687,83.49412429999211,83.5447140999895,space,0.9246064999897499,83.49412429999211,None,84.44673609998426,None,84.44673609998426,84.51051459999871,space,0.786014300014358,84.44673609998426,None,None,None,ms_small,85.26278560000355,85.32694379999884,85.26278560000355,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.953,0.3,False,None,0,19,19,19,85.77715839998564,None,86.06030939999619,86.11026819999097,87.01045579998754,87.06004849998862,space,0.8903901999874506,87.01045579998754,None,87.92983479998657,None,87.92983479998657,87.99322969999048,space,0.7772070000064559,87.92983479998657,None,None,None,ms_small,88.72884440000053,88.79308149998542,88.72884440000053,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.776,0.1,False,None,0,20,20,20,89.24300219997531,None,89.32563909998862,89.37578719999874,90.09283660000074,90.14349139999831,space,0.7940008000005037,90.09283660000074,None,90.91270439999062,None,90.91270439999062,90.97617909999099,space,0.6999123000132386,90.91270439999062,None,None,None,ms_small,91.64397619999363,91.70869430000312,91.64397619999363,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.741,0.2,False,None,0,21,21,21,92.1591634999786,None,92.34243140000035,92.39250509999692,93.07573939999565,93.12660039999173,space,0.8825336000008974,93.07573939999565,None,93.97761609998997,None,93.97761609998997,94.04212229998666,space,0.6274905000173021,93.97761609998997,None,None,None,ms_small,94.6281267000013,94.69202749998658,94.6281267000013,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.847,0.2,False,None,0,22,22,22,95.14182269998128,None,95.32522759999847,95.37528649999877,96.15809230000013,96.20814029997564,space,0.816924899991136,96.15809230000013,None,96.9945819999848,None,96.9945819999848,97.05835469998419,space,0.7967537999793421,96.9945819999848,None,None,None,ms_small,97.81053009998868,97.87476439998136,97.81053009998868,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
