key_resp_start.keys,key_resp_start.rt,key_resp_stop.keys,key_resp_stop.rt,feedback_range,hit,stimulus_range,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus_duration,onset,feedback,feedback_range_fromfile,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.344905,space,1.494435,0.3,TRUE,Training,0,0,0,0,1,2,0.1,True,0.3,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,1.724105,space,4.55656,0.3,TRUE,Training,0,1,1,1,1,5,0.2,True,0.3,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,1.417435,space,3.831755,0.3,TRUE,Training,0,2,2,2,1,4,0.1,True,0.3,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,0.87751,space,3.82438,,,large,0,3,3,3,1,4.5,0.3,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,1.06745,space,3.23211,,,large,0,4,4,4,1,3.5,0.3,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,0.932385,space,5.12255,,,large,0,5,5,5,1,5.5,0.3,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,0.832635,space,2.40453,,,large,0,6,6,6,1,3,0.1,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,1.009555,space,2.764925,,,large,0,7,7,7,1,2.5,0.1,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,0.962195,space,4.31696,,,large,0,8,8,8,1,5,0.3,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,1.137955,space,5.730035,,,large,0,9,9,9,1,6,0.3,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,1.29107,space,1.520665,,,large,0,10,10,10,1,2,0.2,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,1.116015,space,3.448295,,,large,0,11,11,11,1,4,0.1,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,0.783625,space,1.73252,,,large,0,12,12,12,1,2.5,0.3,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,0.917325,space,4.148195,,,large,0,13,13,13,1,4,0.1,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,0.834305,space,3.274315,,,large,0,14,14,14,1,3.5,0.3,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,1.373,space,6.081335,,,large,0,15,15,15,1,5.5,0.1,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,1.057595,space,5.822885,,,large,0,16,16,16,1,6,0.1,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,0.98372,space,2.564035,,,large,0,17,17,17,1,3,0.2,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,0.83381,space,1.79476,,,large,0,18,18,18,1,2,0.2,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,1.085705,space,5.14655,,,large,0,19,19,19,1,5,0.2,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,0.922475,space,4.18064,,,large,0,20,20,20,1,4.5,0.3,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
space,0.933935,space,3.241475,,,large,0,21,21,21,1,3.5,0.2,False,None,D07,r3,2021-04-30_17h40.27.984,subsecond_timing_v2,2021.1.2,Win32,60.54368227
