stimulus_range,stimulus_duration,onset,feedback,feedback_range_fromfile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_cross.started,fixation_cross.stopped,interval_start.started,interval_start.stopped,interval_end.started,interval_end.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,fixation_cross_reproduction.started,fixation_cross_reproduction.stopped,reproduction_start.started,reproduction_start.stopped,key_resp_stop.keys,key_resp_stop.rt,key_resp_stop.started,key_resp_stop.stopped,feedback_range,hit,stimulus_range,reproduction_end.started,reproduction_end.stopped,fixation_cross_feedback.started,fixation_cross_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Training,1,0.1,True,0.3,0,0,0,0,63.71864739997545,None,63.810077200003434,63.86006949999137,64.80989559995942,64.85988679999718,space,1.1240224000066519,64.80989559995942,None,65.9622041999828,None,65.9622041999828,66.02638519997708,space,0.8510451000183821,65.9622041999828,None,0.3,True,Training,66.84607199998572,66.90948400000343,66.84607199998572,None,D01,3,2021_Apr_23_1038,subsecond_timing,2021.1.2,60.01277071704144,
Training,0.75,0.2,True,0.3,0,1,1,1,67.3595159999677,None,67.54278029996203,67.59279159997823,68.29266439995263,68.34273699996993,space,0.7789192000054754,68.29266439995263,None,69.09533989999909,None,69.09533989999909,69.15915739996126,space,0.5953615999897011,69.09533989999909,None,0.3,True,Training,69.7118054999737,69.77563279995229,69.7118054999737,None,D01,3,2021_Apr_23_1038,subsecond_timing,2021.1.2,60.01277071704144,
Training,0.5,0.1,True,0.3,0,2,2,2,70.2255363999866,None,70.30890349997208,70.35888009995688,70.80881439999212,70.85916779999388,space,0.6872953999554738,70.80881439999212,None,71.52664669998921,None,71.52664669998921,71.57585560000734,space,0.5019119000062346,71.52664669998921,None,0.3,True,Training,72.0606161999749,72.12538649997441,72.0606161999749,None,D01,3,2021_Apr_23_1038,subsecond_timing,2021.1.2,60.01277071704144,
Training,0.5,0.2,True,0.3,0,3,3,3,72.57510709995404,None,72.75847319996683,72.80847889999859,73.25836139998864,73.30871159996605,space,0.6368226999766193,73.25836139998864,None,73.92820649995701,None,73.92820649995701,73.99110199999996,space,0.5193013999960385,73.92820649995701,None,0.3,True,Training,74.47473719995469,74.54112999996869,74.47473719995469,None,D01,3,2021_Apr_23_1038,subsecond_timing,2021.1.2,60.01277071704144,
Training,0.75,0.3,True,0.3,0,4,4,4,74.9748663000064,None,75.25814140000148,75.30810510000447,76.00798379996559,76.05834869999671,space,0.8177111999830231,76.00798379996559,None,76.84439379995456,None,76.84439379995456,76.90758719999576,space,0.8702199999825098,76.84439379995456,None,0.3,True,Training,77.74319479998667,77.80785029998515,77.74319479998667,None,D01,3,2021_Apr_23_1038,subsecond_timing,2021.1.2,60.01277071704144,
Training,1,0.2,True,0.3,0,5,5,5,78.25752419995843,None,78.44083449995378,78.49074609996751,79.44058100000257,79.49072289996548,space,0.8540879000211135,79.44058100000257,None,80.32652479998069,None,80.32652479998069,80.39070260000881,space,0.8458046999876387,80.32652479998069,None,0.3,True,Training,81.19297789997654,81.25690419995226,81.19297789997654,None,D01,3,2021_Apr_23_1038,subsecond_timing,2021.1.2,60.01277071704144,
large,4.5,0.3,False,None,0,6,6,6,81.70678219996626,None,81.99008339998545,82.04027549998136,86.48939649999375,86.53956599999219,space,0.5553103000274859,86.48939649999375,None,87.07576429995243,None,87.07576429995243,87.14139060000889,space,3.1384525999892503,87.07576429995243,None,None,None,large,90.24141489999602,90.30533010000363,90.24141489999602,None,D01,3,2021_Apr_23_1038,subsecond_timing,2021.1.2,60.01277071704144,
large,3.5,0.3,False,None,0,7,7,7,90.75527139997575,None,91.03857769997558,91.08851789997425,94.53796180000063,94.58798579999711,space,0.49988560000201687,94.53796180000063,None,95.05704579997109,None,95.05704579997109,95.11878889997024,space,2.7972139999619685,95.05704579997109,None,None,None,large,97.87337689998094,97.93733200000133,97.87337689998094,None,D01,3,2021_Apr_23_1038,subsecond_timing,2021.1.2,60.01277071704144,
large,5.5,0.3,False,None,0,8,8,8,98.38729310000781,None,98.67056009999942,98.72052779997466,104.16987649997463,104.21983039996121,space,0.7496189000084996,104.16987649997463,None,104.93857969995588,None,104.93857969995588,105.00218999997014,space,4.395835099974647,104.93857969995588,None,None,None,large,109.35433489998104,109.4186514999601,109.35433489998104,None,D01,3,2021_Apr_23_1038,subsecond_timing,2021.1.2,60.01277071704144,
large,3,0.1,False,None,0,9,9,9,109.86852079996606,None,109.95152169995708,110.00108009995893,112.95134589995723,113.0015044999891,space,0.6414355000015348,112.95134589995723,None,113.62091309996322,None,113.62091309996322,113.68453149998095,space,2.655939899967052,113.62091309996322,None,None,None,large,116.30368239997188,116.36727599997539,116.30368239997188,None,D01,3,2021_Apr_23_1038,subsecond_timing,2021.1.2,60.01277071704144,
